C1	C2	C3	C4
A5	B57	0.9	0.3
A5	B58	0.9	0.3
A5	B59	0.9	0.3
A5	B60	0.9	0.3
A5	B61	0.9	0.3
A5	B62	0.9	0.3
A5	B63	0.9	0.3
A5	B64	0.9	0.3
A5	B65	0.9	0.3
A5	B66	0.9	0.3
A5	B67	0.9	0.3
A5	B68	0.9	0.3
A5	B69	0.9	0.3
A5	B70	0.9	0.3
A5	B71	0.9	0.3
A5	B72	0.9	0.3
A5	B73	0.9	0.3
A5	B74	0.9	0.3
A5	B75	0.9	0.3
A5	B76	0.9	0.3
A5	B77	0.9	0.3
A5	B78	0.9	0.3
A5	B79	0.9	0.3
A5	B80	0.9	0.3
A6	B1	1	1
A6	B2	1	1
A6	B3	1	1
A6	B4	1	1
A6	B5	1	1
A6	B6	1	1
A6	B7	1	1
A6	B8	1	1
A6	B9	1	1
A6	B10	1	1
A6	B11	1	1
A6	B12	1	1
A6	B13	1	1
A6	B14	1	1
A6	B15	1	1
A6	B16	1	1
A6	B17	1	1
A6	B18	1	1
A6	B19	1	1
A6	B20	1	1
A6	B21	1	1
A6	B22	1	1
A6	B23	1	1
A6	B24	1	1
A6	B25	1	1
A6	B26	1	1
A6	B27	1	1
A6	B28	1	1
A6	B29	1	1
A6	B30	1	1
A6	B31	1	1
A6	B32	1	1
A6	B33	1	1
A6	B34	1	1
A6	B35	1	1
A6	B36	1	1
A6	B37	1	1
A6	B38	1	1
A6	B39	1	1
A6	B40	1	1
A6	B41	0.9	0.3
A6	B42	0.9	0.3
A6	B43	0.9	0.3
A6	B44	0.9	0.3
A6	B45	0.9	0.3
A6	B46	0.9	0.3
A6	B47	0.9	0.3
A6	B48	0.9	0.3
A6	B49	0.9	0.3
A6	B50	0.9	0.3
A6	B51	0.9	0.3
A6	B52	0.9	0.3
A6	B53	0.9	0.3
A6	B54	0.9	0.3
A6	B55	0.9	0.3
A6	B56	0.9	0.3
A6	B57	0.9	0.3
A6	B58	0.9	0.3
A6	B59	0.9	0.3
A6	B60	0.9	0.3
A6	B61	0.9	0.3
A6	B62	0.9	0.3
A6	B63	0.9	0.3
A6	B64	0.9	0.3
A6	B65	0.9	0.3
A6	B66	0.9	0.3
A6	B67	0.9	0.3
A6	B68	0.9	0.3
A6	B69	0.9	0.3
A6	B70	0.9	0.3
A6	B71	0.9	0.3
A6	B72	0.9	0.3
A6	B73	0.9	0.3
A6	B74	0.9	0.3
A6	B75	0.9	0.3
A6	B76	0.9	0.3
A6	B77	0.9	0.3
A6	B78	0.9	0.3
A6	B79	0.9	0.3
A6	B80	0.9	0.3
A7	B1	1	1
A7	B2	1	1
A7	B3	1	1
A7	B4	1	1
A7	B5	1	1
A7	B6	1	1
A7	B7	1	1
A7	B8	1	1
A7	B9	1	1
A7	B10	1	1
A7	B11	1	1
A7	B12	1	1
A7	B13	1	1
A7	B14	1	1
A7	B15	1	1
A7	B16	1	1
A7	B17	1	1
A7	B18	1	1
A7	B19	1	1
A7	B20	1	1
A7	B21	1	1
A7	B22	1	1
A7	B23	1	1
A7	B24	1	1
A7	B25	1	1
A7	B26	1	1
A7	B27	1	1
A7	B28	1	1
A7	B29	1	1
A7	B30	1	1
A7	B31	1	1
A7	B32	1	1
A7	B33	1	1
A7	B34	1	1
A7	B35	1	1
A7	B36	1	1
A7	B37	1	1
A7	B38	1	1
A7	B39	1	1
A7	B40	1	1
A7	B41	0.9	0.3
A7	B42	0.9	0.3
A7	B43	0.9	0.3
A7	B44	0.9	0.3
A7	B45	0.9	0.3
A7	B46	0.9	0.3
A7	B47	0.9	0.3
A7	B48	0.9	0.3
A7	B49	0.9	0.3
A7	B50	0.9	0.3
A7	B51	0.9	0.3
A7	B52	0.9	0.3
A7	B53	0.9	0.3
A7	B54	0.9	0.3
A7	B55	0.9	0.3
A7	B56	0.9	0.3
A7	B57	0.9	0.3
A7	B58	0.9	0.3
A7	B59	0.9	0.3
A7	B60	0.9	0.3
A7	B61	0.9	0.3
A7	B62	0.9	0.3
A7	B63	0.9	0.3
A7	B64	0.9	0.3
A7	B65	0.9	0.3
A7	B66	0.9	0.3
A7	B67	0.9	0.3
A7	B68	0.9	0.3
A7	B69	0.9	0.3
A7	B70	0.9	0.3
A7	B71	0.9	0.3
A7	B72	0.9	0.3
A7	B73	0.9	0.3
A7	B74	0.9	0.3
A7	B75	0.9	0.3
A7	B76	0.9	0.3
A7	B77	0.9	0.3
A7	B78	0.9	0.3
A7	B79	0.9	0.3
A7	B80	0.9	0.3
A8	B1	1	1
A8	B2	1	1
A8	B3	1	1
A8	B4	1	1
A8	B5	1	1
A8	B6	1	1
A8	B7	1	1
A8	B8	1	1
A8	B9	1	1
A8	B10	1	1
A8	B11	1	1
A8	B12	1	1
A8	B13	1	1
A8	B14	1	1
A8	B15	1	1
A8	B16	1	1
A8	B17	1	1
A8	B18	1	1
A8	B19	1	1
A8	B20	1	1
A8	B21	1	1
A8	B22	1	1
A8	B23	1	1
A8	B24	1	1
A8	B25	1	1
A8	B26	1	1
A8	B27	1	1
A8	B28	1	1
A8	B29	1	1
A8	B30	1	1
A8	B31	1	1
A8	B32	1	1
A8	B33	1	1
A8	B34	1	1
A8	B35	1	1
A8	B36	1	1
A8	B37	1	1
A8	B38	1	1
A8	B39	1	1
A8	B40	1	1
A8	B41	0.9	0.3
A8	B42	0.9	0.3
A8	B43	0.9	0.3
A8	B44	0.9	0.3
A8	B45	0.9	0.3
A8	B46	0.9	0.3
A8	B47	0.9	0.3
A8	B48	0.9	0.3
A8	B49	0.9	0.3
A8	B50	0.9	0.3
A8	B51	0.9	0.3
A8	B52	0.9	0.3
A8	B53	0.9	0.3
A8	B54	0.9	0.3
A8	B55	0.9	0.3
A8	B56	0.9	0.3
A8	B57	0.9	0.3
A8	B58	0.9	0.3
A8	B59	0.9	0.3
A8	B60	0.9	0.3
A8	B61	0.9	0.3
A8	B62	0.9	0.3
A8	B63	0.9	0.3
A8	B64	0.9	0.3
A8	B65	0.9	0.3
A8	B66	0.9	0.3
A8	B67	0.9	0.3
A8	B68	0.9	0.3
A8	B69	0.9	0.3
A8	B70	0.9	0.3
A8	B71	0.9	0.3
A8	B72	0.9	0.3
A8	B73	0.9	0.3
A8	B74	0.9	0.3
A8	B75	0.9	0.3
A8	B76	0.9	0.3
A8	B77	0.9	0.3
A8	B78	0.9	0.3
A8	B79	0.9	0.3
A8	B80	0.9	0.3
A9	B1	1	1
A9	B2	1	1
A9	B3	1	1
A9	B4	1	1
A9	B5	1	1
A9	B6	1	1
A9	B7	1	1
A9	B8	1	1
A9	B9	1	1
A9	B10	1	1
A9	B11	1	1
A9	B12	1	1
A9	B13	1	1
A9	B14	1	1
A9	B15	1	1
A9	B16	1	1
A9	B17	1	1
A9	B18	1	1
A9	B19	1	1
A9	B20	1	1
A9	B21	1	1
A9	B22	1	1
A9	B23	1	1
A9	B24	1	1
A9	B25	1	1
A9	B26	1	1
A9	B27	1	1
A9	B28	1	1
A9	B29	1	1
A9	B30	1	1
A9	B31	1	1
A9	B32	1	1
A9	B33	1	1
A9	B34	1	1
A9	B35	1	1
A9	B36	1	1
A9	B37	1	1
A9	B38	1	1
A9	B39	1	1
A9	B40	1	1
A9	B41	0.9	0.3
A9	B42	0.9	0.3
A9	B43	0.9	0.3
A9	B44	0.9	0.3
A9	B45	0.9	0.3
A9	B46	0.9	0.3
A9	B47	0.9	0.3
A9	B48	0.9	0.3
A9	B49	0.9	0.3
A9	B50	0.9	0.3
A9	B51	0.9	0.3
A9	B52	0.9	0.3
A9	B53	0.9	0.3
A9	B54	0.9	0.3
A9	B55	0.9	0.3
A9	B56	0.9	0.3
A9	B57	0.9	0.3
A9	B58	0.9	0.3
A9	B59	0.9	0.3
A9	B60	0.9	0.3
A9	B61	0.9	0.3
A9	B62	0.9	0.3
A9	B63	0.9	0.3
A9	B64	0.9	0.3
A9	B65	0.9	0.3
A9	B66	0.9	0.3
A9	B67	0.9	0.3
A9	B68	0.9	0.3
A9	B69	0.9	0.3
A9	B70	0.9	0.3
A9	B71	0.9	0.3
A9	B72	0.9	0.3
A9	B73	0.9	0.3
A9	B74	0.9	0.3
A9	B75	0.9	0.3
A9	B76	0.9	0.3
A9	B77	0.9	0.3
A9	B78	0.9	0.3
A9	B79	0.9	0.3
A9	B80	0.9	0.3
A10	B1	1	1
A10	B2	1	1
A10	B3	1	1
A10	B4	1	1
A10	B5	1	1
A10	B6	1	1
A10	B7	1	1
A10	B8	1	1
A10	B9	1	1
A10	B10	1	1
A10	B11	1	1
A10	B12	1	1
A10	B13	1	1
A10	B14	1	1
A10	B15	1	1
A10	B16	1	1
A10	B17	1	1
A10	B18	1	1
A10	B19	1	1
A10	B20	1	1
A10	B21	1	1
A10	B22	1	1
A10	B23	1	1
A10	B24	1	1
A10	B25	1	1
A10	B26	1	1
A10	B27	1	1
A10	B28	1	1
A10	B29	1	1
A10	B30	1	1
A10	B31	1	1
A10	B32	1	1
A10	B33	1	1
A10	B34	1	1
A10	B35	1	1
A10	B36	1	1
A10	B37	1	1
A10	B38	1	1
A10	B39	1	1
A10	B40	1	1
A10	B41	0.9	0.3
A10	B42	0.9	0.3
A10	B43	0.9	0.3
A10	B44	0.9	0.3
A10	B45	0.9	0.3
A10	B46	0.9	0.3
A10	B47	0.9	0.3
A10	B48	0.9	0.3
A10	B49	0.9	0.3
A10	B50	0.9	0.3
A10	B51	0.9	0.3
A10	B52	0.9	0.3
A10	B53	0.9	0.3
A10	B54	0.9	0.3
A10	B55	0.9	0.3
A10	B56	0.9	0.3
A10	B57	0.9	0.3
A10	B58	0.9	0.3
A10	B59	0.9	0.3
A10	B60	0.9	0.3
A10	B61	0.9	0.3
A10	B62	0.9	0.3
A10	B63	0.9	0.3
A10	B64	0.9	0.3
A10	B65	0.9	0.3
A10	B66	0.9	0.3
A10	B67	0.9	0.3
A10	B68	0.9	0.3
A10	B69	0.9	0.3
A10	B70	0.9	0.3
A10	B71	0.9	0.3
A10	B72	0.9	0.3
A10	B73	0.9	0.3
A10	B74	0.9	0.3
A10	B75	0.9	0.3
A10	B76	0.9	0.3
A10	B77	0.9	0.3
A10	B78	0.9	0.3
A10	B79	0.9	0.3
A10	B80	0.9	0.3
A11	B1	0.9	0.3
A11	B2	0.9	0.3
A11	B3	0.9	0.3
A11	B4	0.9	0.3
A11	B5	0.9	0.3
A11	B6	0.9	0.3
A11	B7	0.9	0.3
A11	B8	0.9	0.3
A11	B9	0.9	0.3
A11	B10	0.9	0.3
A11	B11	0.9	0.3
A11	B12	0.9	0.3
A11	B13	0.9	0.3
A11	B14	0.9	0.3
A11	B15	0.9	0.3
A11	B16	0.9	0.3
A11	B17	0.9	0.3
A11	B18	0.9	0.3
A11	B19	0.9	0.3
A11	B20	0.9	0.3
A11	B21	0.9	0.3
A11	B22	0.9	0.3
A11	B23	0.9	0.3
A11	B24	0.9	0.3
A11	B25	0.9	0.3
A11	B26	0.9	0.3
A11	B27	0.9	0.3
A11	B28	0.9	0.3
A11	B29	0.9	0.3
A11	B30	0.9	0.3
A11	B31	0.9	0.3
A11	B32	0.9	0.3
A11	B33	0.9	0.3
A11	B34	0.9	0.3
A11	B35	0.9	0.3
A11	B36	0.9	0.3
A11	B37	0.9	0.3
A11	B38	0.9	0.3
A11	B39	0.9	0.3
A11	B40	0.9	0.3
A11	B41	1	1
A11	B42	1	1
A11	B43	1	1
A11	B44	1	1
A11	B45	1	1
A11	B46	1	1
A11	B47	1	1
A11	B48	1	1
A11	B49	1	1
A11	B50	1	1
A11	B51	1	1
A11	B52	1	1
A11	B53	1	1
A11	B54	1	1
A11	B55	1	1
A11	B56	1	1
A11	B57	1	1
A11	B58	1	1
A11	B59	1	1
A11	B60	1	1
A11	B61	1	1
A11	B62	1	1
A11	B63	1	1
A11	B64	1	1
A11	B65	1	1
A11	B66	1	1
A11	B67	1	1
A11	B68	1	1
A11	B69	1	1
A11	B70	1	1
A11	B71	1	1
A11	B72	1	1
A11	B73	1	1
A11	B74	1	1
A11	B75	1	1
A11	B76	1	1
A11	B77	1	1
A11	B78	1	1
A11	B79	1	1
A11	B80	1	1
A12	B1	0.9	0.3
A12	B2	0.9	0.3
A12	B3	0.9	0.3
A12	B4	0.9	0.3
A12	B5	0.9	0.3
A12	B6	0.9	0.3
A12	B7	0.9	0.3
A12	B8	0.9	0.3
A12	B9	0.9	0.3
A12	B10	0.9	0.3
A12	B11	0.9	0.3
A12	B12	0.9	0.3
A12	B13	0.9	0.3
A12	B14	0.9	0.3
A12	B15	0.9	0.3
A12	B16	0.9	0.3
A12	B17	0.9	0.3
A12	B18	0.9	0.3
A12	B19	0.9	0.3
A12	B20	0.9	0.3
A12	B21	0.9	0.3
A12	B22	0.9	0.3
A12	B23	0.9	0.3
A12	B24	0.9	0.3
A12	B25	0.9	0.3
A12	B26	0.9	0.3
A12	B27	0.9	0.3
A12	B28	0.9	0.3
A12	B29	0.9	0.3
A12	B30	0.9	0.3
A12	B31	0.9	0.3
A12	B32	0.9	0.3
A12	B33	0.9	0.3
A12	B34	0.9	0.3
A12	B35	0.9	0.3
A12	B36	0.9	0.3
A12	B37	0.9	0.3
A12	B38	0.9	0.3
A12	B39	0.9	0.3
A12	B40	0.9	0.3
A12	B41	1	1
A12	B42	1	1
A12	B43	1	1
A12	B44	1	1
A12	B45	1	1
A12	B46	1	1
A12	B47	1	1
A12	B48	1	1
A12	B49	1	1
A12	B50	1	1
A12	B51	1	1
A12	B52	1	1
A12	B53	1	1
A12	B54	1	1
A12	B55	1	1
A12	B56	1	1
A12	B57	1	1
A12	B58	1	1
A12	B59	1	1
A12	B60	1	1
A12	B61	1	1
A12	B62	1	1
A12	B63	1	1
A12	B64	1	1
A12	B65	1	1
A12	B66	1	1
A12	B67	1	1
A12	B68	1	1
A12	B69	1	1
A12	B70	1	1
A12	B71	1	1
A12	B72	1	1
A12	B73	1	1
A12	B74	1	1
A12	B75	1	1
A12	B76	1	1
A12	B77	1	1
A12	B78	1	1
A12	B79	1	1
A12	B80	1	1
A13	B1	0.9	0.3
A13	B2	0.9	0.3
A13	B3	0.9	0.3
A13	B4	0.9	0.3
A13	B5	0.9	0.3
A13	B6	0.9	0.3
A13	B7	0.9	0.3
A13	B8	0.9	0.3
A13	B9	0.9	0.3
A13	B10	0.9	0.3
A13	B11	0.9	0.3
A13	B12	0.9	0.3
A13	B13	0.9	0.3
A13	B14	0.9	0.3
A13	B15	0.9	0.3
A13	B16	0.9	0.3
A13	B17	0.9	0.3
A13	B18	0.9	0.3
A13	B19	0.9	0.3
A13	B20	0.9	0.3
A13	B21	0.9	0.3
A13	B22	0.9	0.3
A13	B23	0.9	0.3
A13	B24	0.9	0.3
A13	B25	0.9	0.3
A13	B26	0.9	0.3
A13	B27	0.9	0.3
A13	B28	0.9	0.3
A13	B29	0.9	0.3
A13	B30	0.9	0.3
A13	B31	0.9	0.3
A13	B32	0.9	0.3
A13	B33	0.9	0.3
A13	B34	0.9	0.3
A13	B35	0.9	0.3
A13	B36	0.9	0.3
A13	B37	0.9	0.3
A13	B38	0.9	0.3
A13	B39	0.9	0.3
A13	B40	0.9	0.3
A13	B41	1	1
A13	B42	1	1
A13	B43	1	1
A13	B44	1	1
A13	B45	1	1
A13	B46	1	1
A13	B47	1	1
A13	B48	1	1
A13	B49	1	1
A13	B50	1	1
A13	B51	1	1
A13	B52	1	1
A13	B53	1	1
A13	B54	1	1
A13	B55	1	1
A13	B56	1	1
A13	B57	1	1
A13	B58	1	1
A13	B59	1	1
A13	B60	1	1
A13	B61	1	1
A13	B62	1	1
A13	B63	1	1
A13	B64	1	1
A13	B65	1	1
A13	B66	1	1
A13	B67	1	1
A13	B68	1	1
A13	B69	1	1
A13	B70	1	1
A13	B71	1	1
A13	B72	1	1
A13	B73	1	1
A13	B74	1	1
A13	B75	1	1
A13	B76	1	1
A13	B77	1	1
A13	B78	1	1
A13	B79	1	1
A13	B80	1	1
A14	B1	0.9	0.3
A14	B2	0.9	0.3
A14	B3	0.9	0.3
A14	B4	0.9	0.3
A14	B5	0.9	0.3
A14	B6	0.9	0.3
A14	B7	0.9	0.3
A14	B8	0.9	0.3
A14	B9	0.9	0.3
A14	B10	0.9	0.3
A14	B11	0.9	0.3
A14	B12	0.9	0.3
A14	B13	0.9	0.3
A14	B14	0.9	0.3
A14	B15	0.9	0.3
A14	B16	0.9	0.3
A14	B17	0.9	0.3
A14	B18	0.9	0.3
A14	B19	0.9	0.3
A14	B20	0.9	0.3
A14	B21	0.9	0.3
A14	B22	0.9	0.3
A14	B23	0.9	0.3
A14	B24	0.9	0.3
A14	B25	0.9	0.3
A14	B26	0.9	0.3
A14	B27	0.9	0.3
A14	B28	0.9	0.3
A14	B29	0.9	0.3
A14	B30	0.9	0.3
A14	B31	0.9	0.3
A14	B32	0.9	0.3
A14	B33	0.9	0.3
A14	B34	0.9	0.3
A14	B35	0.9	0.3
A14	B36	0.9	0.3
A14	B37	0.9	0.3
A14	B38	0.9	0.3
A14	B39	0.9	0.3
A14	B40	0.9	0.3
A14	B41	1	1
A14	B42	1	1
A14	B43	1	1
A14	B44	1	1
A14	B45	1	1
A14	B46	1	1
A14	B47	1	1
A14	B48	1	1
A14	B49	1	1
A14	B50	1	1
A14	B51	1	1
A14	B52	1	1
A14	B53	1	1
A14	B54	1	1
A14	B55	1	1
A14	B56	1	1
A14	B57	1	1
A14	B58	1	1
A14	B59	1	1
A14	B60	1	1
A14	B61	1	1
A14	B62	1	1
A14	B63	1	1
A14	B64	1	1
A14	B65	1	1
A14	B66	1	1
A14	B67	1	1
A14	B68	1	1
A14	B69	1	1
A14	B70	1	1
A14	B71	1	1
A14	B72	1	1
A14	B73	1	1
A14	B74	1	1
A14	B75	1	1
A14	B76	1	1
A14	B77	1	1
A14	B78	1	1
A14	B79	1	1
A14	B80	1	1
A15	B1	0.9	0.3
A15	B2	0.9	0.3
A15	B3	0.9	0.3
A15	B4	0.9	0.3
A15	B5	0.9	0.3
A15	B6	0.9	0.3
A15	B7	0.9	0.3
A15	B8	0.9	0.3
A15	B9	0.9	0.3
A15	B10	0.9	0.3
A15	B11	0.9	0.3
A15	B12	0.9	0.3
A15	B13	0.9	0.3
A15	B14	0.9	0.3
A15	B15	0.9	0.3
A15	B16	0.9	0.3
A15	B17	0.9	0.3
A15	B18	0.9	0.3
A15	B19	0.9	0.3
A15	B20	0.9	0.3
A15	B21	0.9	0.3
A15	B22	0.9	0.3
A15	B23	0.9	0.3
A15	B24	0.9	0.3
A15	B25	0.9	0.3
A15	B26	0.9	0.3
A15	B27	0.9	0.3
A15	B28	0.9	0.3
A15	B29	0.9	0.3
A15	B30	0.9	0.3
A15	B31	0.9	0.3
A15	B32	0.9	0.3
A15	B33	0.9	0.3
A15	B34	0.9	0.3
A15	B35	0.9	0.3
A15	B36	0.9	0.3
A15	B37	0.9	0.3
A15	B38	0.9	0.3
